original_address,lat,lon,formatted,name,housenumber,suburb,street,county,postcode,district,city,state,state_code,country,country_code,confidence,confidence_city_level,confidence_street_level,attribution,attribution_license,attribution_url
"3616 20TH ST, SAN FRANCISCO, CA 94110",37.75855475,-122.42171675,"3616 20th Street, San Francisco, CA 94110, United States of America",,3616,,20th Street,,94110,Mission District,San Francisco,California,CA,United States,us,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"140 LINDA ST, SAN FRANCISCO, CA 94110",37.75951223076923,-122.4229323076923,"140 Linda Street, San Francisco, CA 94110, United States of America",,140,,Linda Street,,94110,Mission District,San Francisco,California,CA,United States,us,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"700 CHURCH ST, SAN FRANCISCO, CA 94114",37.759563,-122.428294,"700 Church Street, San Francisco, CA 94114, United States of America",,700,,Church Street,,94114,Castro District,San Francisco,California,CA,United States,us,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"717 TREAT AVE, SAN FRANCISCO, CA 94110",37.75862410204082,-122.4134637755102,"717 Treat Avenue, San Francisco, CA 94110, United States of America",,717,,Treat Avenue,,94110,Mission District,San Francisco,California,CA,United States,us,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"570 ALVARADO ST, SAN FRANCISCO, CA 94114",37.75381385714285,-122.43362514285714,"570 Alvarado Street, San Francisco, CA 94114, United States of America",,570,,Alvarado Street,,94114,Noe Valley,San Francisco,California,CA,United States,us,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"535 ALVARADO ST, SAN FRANCISCO, CA 94114",37.753692102040816,-122.4329086122449,"535 Alvarado Street, San Francisco, CA 94114, United States of America",,535,,Alvarado Street,,94114,Noe Valley,San Francisco,California,CA,United States,us,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"847 CASTRO ST, SAN FRANCISCO, CA 94114",37.7554321,-122.43425622987394,"847 Castro Street, San Francisco, CA 94114, United States of America",,847,,Castro Street,,94114,Noe Valley,San Francisco,California,CA,United States,us,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"3607 22ND ST, SAN FRANCISCO, CA 94114",37.75476771666666,-122.42812571666666,"3607 22nd Street, San Francisco, CA 94114, United States of America",,3607,,22nd Street,,94114,Noe Valley,San Francisco,California,CA,United States,us,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"58 ALVARADO ST, SAN FRANCISCO, CA 94110",37.754518142857144,-122.422004,"58 Alvarado Street, San Francisco, CA 94110, United States of America",,58,,Alvarado Street,,94110,Mission District,San Francisco,California,CA,United States,us,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"778 CAPP ST, SAN FRANCISCO, CA 94110",37.75429532653061,-122.41764753061224,"778 Capp Street, San Francisco, CA 94110, United States of America",,778,,Capp Street,,94110,Mission District,San Francisco,California,CA,United States,us,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"2647 MISSION ST, SAN FRANCISCO, CA 94110",37.75468444897959,-122.41857151020409,"2647 Mission Street, San Francisco, CA 94110, United States of America",,2647,,Mission Street,,94110,Mission District,San Francisco,California,CA,United States,us,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"3350 23RD ST, SAN FRANCISCO, CA 94110",37.753843,-122.419868,"3350 23rd Street, San Francisco, CA 94110, United States of America",,3350,,23rd Street,,94110,Mission District,San Francisco,California,CA,United States,us,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"242 FAIR OAKS ST, SAN FRANCISCO, CA 94110",37.75279714285715,-122.42417442857143,"242 Fair Oaks Street, San Francisco, CA 94110, United States of America",,242,,Fair Oaks Street,,94110,Mission District,San Francisco,California,CA,United States,us,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"569 NATOMA ST, SAN FRANCISCO, CA 94103",37.77885073076923,-122.40923073076922,"569 Natoma Street, San Francisco, CA 94103, United States of America",,569,,Natoma Street,,94103,West SoMa,San Francisco,California,CA,United States,us,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"936 YORK ST, SAN FRANCISCO, CA 94110",37.75702608163265,-122.4086956122449,"936 York Street, San Francisco, CA 94110, United States of America",,936,,York Street,,94110,,San Francisco,California,CA,United States,us,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"1266 VERMONT ST, SAN FRANCISCO, CA 94110",37.753631326530616,-122.40355169387755,"1266 Vermont Street, San Francisco, CA 94110, United States of America",,1266,,Vermont Street,,94110,Potrero Terrace,San Francisco,California,CA,United States,us,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"2425 24TH ST, SAN FRANCISCO, CA 94110",37.75307744897959,-122.40371144897959,"2425 24th Street, San Francisco, CA 94110, United States of America",,2425,,24th Street,,94110,Potrero Terrace,San Francisco,California,CA,United States,us,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"2865 25TH ST, SAN FRANCISCO, CA 94110",37.7512045882353,-122.40752870588236,"2865 25th Street, San Francisco, CA 94110, United States of America",,2865,,25th Street,,94110,,San Francisco,California,CA,United States,us,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"1401 SAN BRUNO AVE, SAN FRANCISCO, CA 94110",37.751728,-122.404127,"1401 San Bruno Avenue, San Francisco, CA 94110, United States of America",,1401,,San Bruno Avenue,,94110,Potrero Terrace,San Francisco,California,CA,United States,us,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"1742 LA SALLE AVE, SAN FRANCISCO, CA 94124",37.738074000000005,-122.39128085714286,"1742 La Salle Avenue, San Francisco, CA 94124, United States of America",,1742,,La Salle Avenue,,94124,Bayview District,San Francisco,California,CA,United States,us,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"1653 LA SALLE AVE, SAN FRANCISCO, CA 94124",37.73725307407407,-122.39019092592594,"1653 La Salle Avenue, San Francisco, CA 94124, United States of America",,1653,,La Salle Avenue,,94124,Bayview District,San Francisco,California,CA,United States,us,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"3287 MISSION ST, SAN FRANCISCO, CA 94110",37.74435904,-122.42056974,"3287 Mission Street, San Francisco, CA 94110, United States of America",,3287,,Mission Street,,94110,Bernal Heights,San Francisco,California,CA,United States,us,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"101 PROSPECT AVE, SAN FRANCISCO, CA 94110",37.743533,-122.418537,"101 Prospect Avenue, San Francisco, CA 94110, United States of America",,101,,Prospect Avenue,,94110,Bernal Heights,San Francisco,California,CA,United States,us,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"74 GLADYS ST, SAN FRANCISCO, CA 94110",37.739118500000004,-122.42313525,"74 Gladys Street, San Francisco, CA 94110, United States of America",,74,,Gladys Street,,94110,St. Mary's Park,San Francisco,California,CA,United States,us,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"711 BARNEVELD AVE, SAN FRANCISCO, CA 94134",37.73396315,-122.40746987877415,"711 Barneveld Avenue, San Francisco, CA 94134, United States of America",,711,,Barneveld Avenue,,94134,Portola,San Francisco,California,CA,United States,us,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"927 FILBERT ST, SAN FRANCISCO, CA 94133",37.80062753333333,-122.41467053333334,"927 Filbert Street, San Francisco, CA 94133, United States of America",,927,,Filbert Street,,94133,Russian Hill,San Francisco,California,CA,United States,us,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"1375 JACKSON ST, SAN FRANCISCO, CA 94109",37.79453141176471,-122.41774082352941,"1375 Jackson Street, San Francisco, CA 94109, United States of America",,1375,,Jackson Street,,94109,Nob Hill,San Francisco,California,CA,United States,us,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"155 AVILA ST, SAN FRANCISCO, CA 94123",37.80199281632653,-122.44075832653061,"155 Avila Street, San Francisco, CA 94123, United States of America",,155,,Avila Street,,94123,Marina District,San Francisco,California,CA,United States,us,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"1568 LOMBARD ST, SAN FRANCISCO, CA 94123",37.801105489795916,-122.42729510204082,"1568 Lombard Street, San Francisco, CA 94123, United States of America",,1568,,Lombard Street,,94123,,San Francisco,California,CA,United States,us,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"3436 DIVISADERO ST, SAN FRANCISCO, CA 94123",37.801295,-122.44300806122449,"3436 Divisadero Street, San Francisco, CA 94123, United States of America",,3436,,Divisadero Street,,94123,Marina District,San Francisco,California,CA,United States,us,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"2978 CLAY ST, SAN FRANCISCO, CA 94115",37.78979869387755,-122.44206004081633,"2978 Clay Street, San Francisco, CA 94115, United States of America",,2978,,Clay Street,,94115,Presidio Heights,San Francisco,California,CA,United States,us,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"1840 TURK ST, SAN FRANCISCO, CA 94115",37.7798176,-122.43948011640154,"1840 Turk Street, San Francisco, CA 94115, United States of America",,1840,,Turk Street,,94115,Western Addition,San Francisco,California,CA,United States,us,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"111 CLAYTON ST, SAN FRANCISCO, CA 94117",37.774254489795915,-122.44958051020409,"111 Clayton Street, San Francisco, CA 94117, United States of America",,111,,Clayton Street,,94117,Haight-Ashbury,San Francisco,California,CA,United States,us,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"454 CENTRAL AVE, SAN FRANCISCO, CA 94117",37.773728857142856,-122.44421514285713,"454 Central Avenue, San Francisco, CA 94117, United States of America",,454,,Central Avenue,,94117,Haight-Ashbury,San Francisco,California,CA,United States,us,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"270 27TH AVE, SAN FRANCISCO, CA 94121",37.784359550000005,-122.48698477149306,"270 27th Avenue, San Francisco, CA 94121, United States of America",,270,,27th Avenue,,94121,Seacliff,San Francisco,California,CA,United States,us,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"326 21ST AVE, SAN FRANCISCO, CA 94121",37.781665326530614,-122.4804462244898,"326 21st Avenue, San Francisco, CA 94121, United States of America",,326,,21st Avenue,,94121,Seacliff,San Francisco,California,CA,United States,us,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"450 27TH AVE, SAN FRANCISCO, CA 94121",37.78097946938776,-122.4868462857143,"450 27th Avenue, San Francisco, CA 94121, United States of America",,450,,27th Avenue,,94121,Seacliff,San Francisco,California,CA,United States,us,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"442 31ST AVE, SAN FRANCISCO, CA 94121",37.780917,-122.49113985714285,"442 31st Avenue, San Francisco, CA 94121, United States of America",,442,,31st Avenue,,94121,Seacliff,San Francisco,California,CA,United States,us,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"2098 BRYANT ST, SAN FRANCISCO, CA 94110",37.760602,-122.410112,"2098 Bryant Street, San Francisco, CA 94110, United States of America",,2098,,Bryant Street,,94110,,San Francisco,California,CA,United States,us,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"1063 TENNESSEE ST, SAN FRANCISCO, CA 94107",37.75843209090909,-122.38919509090908,"1063 Tennessee Street, San Francisco, CA 94107, United States of America",,1063,,Tennessee Street,,94107,Dogpatch,San Francisco,California,CA,United States,us,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"3050 25TH ST, SAN FRANCISCO, CA 94110",37.751164,-122.410974,"3050 25th Street, San Francisco, CA 94110, United States of America",,3050,,25th Street,,94110,,San Francisco,California,CA,United States,us,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"1270 FITZGERALD AVE, SAN FRANCISCO, CA 94124",37.72176857142857,-122.39252414285714,"1270 Fitzgerald Avenue, San Francisco, CA 94124, United States of America",,1270,,Fitzgerald Avenue,,94124,,San Francisco,California,CA,United States,us,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"1738 OAKDALE AVE, SAN FRANCISCO, CA 94124",37.73615828571428,-122.39291048979592,"1738 Oakdale Avenue, San Francisco, CA 94124, United States of America",,1738,,Oakdale Avenue,,94124,Bayview District,San Francisco,California,CA,United States,us,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
